sequence,pair,type,num_kpts_ref,num_kpts_tgt,num_matches,mma@1px,mma@2px,mma@3px,mma@4px,mma@5px,mma@6px,mma@7px,mma@8px,mma@9px,mma@10px
i_zion,1-5,illumination,2048,2048,1087,0.12695492180312787,0.47378104875804966,0.6274149034038639,0.6586936522539099,0.6890524379024839,0.7166513339466422,0.7295308187672493,0.7405703771849126,0.7442502299908004,0.7460901563937442
i_zion,1-6,illumination,2048,2048,1086,0.13167587476979742,0.5027624309392266,0.6289134438305709,0.6583793738489871,0.6961325966850829,0.7265193370165746,0.7495395948434622,0.7587476979742173,0.7633517495395948,0.7651933701657458
v_abstract,1-2,viewpoint,2048,2048,1469,0.3648740639891082,0.7556160653505786,0.8822328114363512,0.9074200136147039,0.921715452688904,0.9264805990469708,0.9292035398230089,0.9305650102110279,0.9332879509870661,0.9346494213750851
v_abstract,1-3,viewpoint,2048,2048,1396,0.3194842406876791,0.6747851002865329,0.8467048710601719,0.8968481375358166,0.9061604584527221,0.9154727793696275,0.919054441260745,0.9226361031518625,0.9247851002865329,0.9297994269340975
v_abstract,1-4,viewpoint,2048,2048,1073,0.13327120223671948,0.39701770736253494,0.6011183597390494,0.7027027027027027,0.7651444547996272,0.7884436160298229,0.7977632805219013,0.8033550792171482,0.8108108108108109,0.8145386766076421
v_abstract,1-5,viewpoint,2048,2048,1242,0.1996779388083736,0.5483091787439613,0.7415458937198067,0.8059581320450886,0.8333333333333334,0.8518518518518519,0.8582930756843801,0.8631239935587761,0.8671497584541062,0.8695652173913043
v_abstract,1-6,viewpoint,2048,2048,1047,0.11079274116523401,0.3457497612225406,0.5157593123209169,0.6246418338108882,0.6790830945558739,0.7020057306590258,0.7220630372492837,0.731614135625597,0.7392550143266475,0.7468958930276982
v_adam,1-2,viewpoint,2048,2048,1427,0.4470918009810792,0.8500350385423966,0.9348283111422565,0.9530483531885073,0.9607568325157674,0.964260686755431,0.9670637701471618,0.9677645409950946,0.9705676243868255,0.9719691660826909
v_adam,1-3,viewpoint,2048,2048,1389,0.3988480921526278,0.7948164146868251,0.9272858171346292,0.9510439164866811,0.9625629949604032,0.9676025917926566,0.9690424766018718,0.9690424766018718,0.9690424766018718,0.9690424766018718
v_adam,1-4,viewpoint,2048,2048,962,0.18711018711018712,0.5155925155925156,0.7276507276507277,0.7692307692307693,0.7900207900207901,0.7993762993762994,0.8045738045738046,0.8076923076923077,0.8097713097713097,0.8128898128898129
v_adam,1-5,viewpoint,2048,2048,1172,0.302901023890785,0.7295221843003413,0.863481228668942,0.9010238907849829,0.9121160409556314,0.9189419795221843,0.9249146757679181,0.9266211604095563,0.9283276450511946,0.9291808873720137
v_adam,1-6,viewpoint,2048,2048,1253,0.3120510774142059,0.6927374301675978,0.8627294493216281,0.9114126097366321,0.9249800478850758,0.931364724660814,0.931364724660814,0.9321628092577813,0.9329608938547486,0.9329608938547486
v_apprentices,1-2,viewpoint,2048,2048,1726,0.5046349942062572,0.9096176129779838,0.9675550405561993,0.9762456546929317,0.9808806488991889,0.9837775202780996,0.9855156431054461,0.9860950173812283,0.9872537659327926,0.9889918887601391
v_apprentices,1-3,viewpoint,2048,2048,1544,0.3393782383419689,0.758419689119171,0.9112694300518135,0.9488341968911918,0.9604922279792746,0.969559585492228,0.9721502590673575,0.9734455958549223,0.9766839378238342,0.977979274611399
v_apprentices,1-4,viewpoint,2048,2048,1422,0.25949367088607594,0.6476793248945147,0.8473980309423348,0.9184247538677919,0.9338959212376934,0.9458509142053446,0.9521800281293952,0.9563994374120957,0.9571026722925458,0.9578059071729957
v_apprentices,1-5,viewpoint,2048,2048,1271,0.20613690007867821,0.5774980330448466,0.7946498819826908,0.8693941778127459,0.9071597167584579,0.923682140047207,0.9291896144767899,0.9370574350904799,0.940991345397325,0.9425649095200629
v_apprentices,1-6,viewpoint,2048,2048,1112,0.24100719424460432,0.5611510791366906,0.7086330935251799,0.7922661870503597,0.8246402877697842,0.8480215827338129,0.8633093525179856,0.8803956834532374,0.8893884892086331,0.8974820143884892
v_artisans,1-2,viewpoint,2048,2048,1203,0.5004156275976724,0.8437240232751455,0.9035743973399833,0.9177057356608479,0.9235245220282626,0.9260182876142976,0.9301745635910225,0.9343308395677473,0.9368246051537822,0.9376558603491272
v_artisans,1-3,viewpoint,2048,2048,1096,0.3740875912408759,0.7107664233576643,0.8111313868613139,0.8503649635036497,0.8667883211678832,0.8722627737226277,0.8759124087591241,0.8813868613138686,0.8832116788321168,0.8841240875912408
v_artisans,1-4,viewpoint,2048,2048,1203,0.35993349958437243,0.7115544472152951,0.830423940149626,0.8753117206982544,0.8944305901911886,0.9044056525353283,0.9060681629260183,0.9093931837073982,0.9118869492934331,0.913549459684123
v_artisans,1-5,viewpoint,2048,2048,836,0.06698564593301436,0.21052631578947367,0.29904306220095694,0.35406698564593303,0.38995215311004783,0.4126794258373206,0.43779904306220097,0.44258373205741625,0.4557416267942584,0.46172248803827753
v_artisans,1-6,viewpoint,2048,2048,1236,0.5760517799352751,0.8883495145631068,0.9223300970873787,0.9296116504854369,0.9336569579288025,0.9344660194174758,0.9344660194174758,0.9344660194174758,0.9352750809061489,0.9352750809061489
v_astronautis,1-2,viewpoint,2048,2048,1301,0.14757878554957723,0.4189085318985396,0.633358954650269,0.7717140661029976,0.8262874711760184,0.865488086087625,0.8923904688700999,0.9077632590315142,0.9146810146041506,0.9200614911606456
v_astronautis,1-3,viewpoint,2048,2048,1111,0.0666066606660666,0.2664266426642664,0.43924392439243926,0.5760576057605761,0.6579657965796579,0.7011701170117012,0.738973897389739,0.7623762376237624,0.7794779477947795,0.7929792979297929
v_astronautis,1-4,viewpoint,2048,2048,1246,0.11476725521669343,0.3563402889245586,0.5778491171749599,0.7070626003210273,0.7849117174959872,0.8218298555377207,0.8459069020866774,0.8675762439807384,0.877207062600321,0.8884430176565008
v_astronautis,1-5,viewpoint,2048,2048,1017,0.0776794493608653,0.24188790560471976,0.41297935103244837,0.5339233038348082,0.6086529006882989,0.6676499508357916,0.696165191740413,0.7197640117994101,0.744346116027532,0.7551622418879056
v_astronautis,1-6,viewpoint,2048,2048,1386,0.15367965367965367,0.44805194805194803,0.6976911976911977,0.8138528138528138,0.8715728715728716,0.9054834054834054,0.9271284271284271,0.9408369408369408,0.9523809523809523,0.9581529581529582
v_azzola,1-2,viewpoint,2048,2048,1386,0.23376623376623376,0.538961038961039,0.7193362193362194,0.8210678210678211,0.8809523809523809,0.9191919191919192,0.9343434343434344,0.9444444444444444,0.9473304473304474,0.9494949494949495
v_azzola,1-3,viewpoint,2048,2048,1295,0.12123552123552124,0.34054054054054056,0.5127413127413127,0.6362934362934363,0.728957528957529,0.7799227799227799,0.8123552123552124,0.8347490347490347,0.8586872586872587,0.8818532818532818
v_azzola,1-4,viewpoint,2048,2048,1462,0.3378932968536252,0.6956224350205198,0.8508891928864569,0.9069767441860465,0.9357045143638851,0.9473324213406292,0.9514363885088919,0.9548563611491108,0.9562243502051984,0.957592339261286
v_azzola,1-5,viewpoint,2048,2048,1245,0.1140562248995984,0.3357429718875502,0.5204819277108433,0.6409638554216868,0.7228915662650602,0.7839357429718875,0.8281124497991967,0.8554216867469879,0.8674698795180723,0.8811244979919679
v_azzola,1-6,viewpoint,2048,2048,957,0.06687565308254964,0.19540229885057472,0.32497387669801464,0.40856844305120166,0.48589341692789967,0.5496342737722049,0.5914315569487983,0.6206896551724138,0.6426332288401254,0.6509926854754441
v_bark,1-2,viewpoint,2048,2048,809,0.04697156983930779,0.10506798516687268,0.13102595797280595,0.1446229913473424,0.1508034610630408,0.15451174289245984,0.1619283065512979,0.1681087762669963,0.17552533992583436,0.17676143386897405
v_bark,1-3,viewpoint,2048,2048,757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v_bark,1-4,viewpoint,2048,2048,740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013513513513513514,0.002702702702702703
v_bark,1-5,viewpoint,2048,2048,776,0.011597938144329897,0.02190721649484536,0.027061855670103094,0.030927835051546393,0.03221649484536082,0.03350515463917526,0.03479381443298969,0.03608247422680412,0.03608247422680412,0.037371134020618556
v_bark,1-6,viewpoint,2048,2048,781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v_bees,1-2,viewpoint,2048,2048,1484,0.4009433962264151,0.7884097035040432,0.9056603773584906,0.9373315363881402,0.9481132075471698,0.954177897574124,0.9568733153638814,0.9588948787061995,0.9602425876010782,0.9622641509433962
v_bees,1-3,viewpoint,2048,2048,1571,0.38064926798217696,0.8115849777211966,0.9153405474220242,0.9388924252068745,0.9484404837683005,0.9548058561425843,0.9579885423297263,0.9586250795671547,0.9605346912794398,0.9618077657542966
v_bees,1-4,viewpoint,2048,2048,1475,0.3383050847457627,0.752542372881356,0.8827118644067796,0.9274576271186441,0.9477966101694916,0.9545762711864407,0.9586440677966102,0.9640677966101695,0.9667796610169491,0.9667796610169491
v_bees,1-5,viewpoint,2048,2048,1191,0.21578505457598657,0.5180520570948782,0.7153652392947103,0.801007556675063,0.8371116708648195,0.853904282115869,0.8656591099916037,0.869857262804366,0.8849706129303107,0.889168765743073
v_bees,1-6,viewpoint,2048,2048,1320,0.22121212121212122,0.5606060606060606,0.740909090909091,0.821969696969697,0.8568181818181818,0.8825757575757576,0.8984848484848484,0.9045454545454545,0.9151515151515152,0.9204545454545454
v_beyus,1-2,viewpoint,2048,2048,972,0.1779835390946502,0.5113168724279835,0.6563786008230452,0.727366255144033,0.7561728395061729,0.7674897119341564,0.7777777777777778,0.7839506172839507,0.7870370370370371,0.7890946502057613
v_beyus,1-3,viewpoint,2048,2048,899,0.0967741935483871,0.25917686318131256,0.3759733036707453,0.48164627363737483,0.5272525027808677,0.5561735261401557,0.5706340378197998,0.5862068965517241,0.5895439377085651,0.5995550611790879
